OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_Volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore,XMR-USD_Open,XMR-USD_High,XMR-USD_Low,XMR-USD_Close,XMR-USD_Volume,XMR-QuoteAssetVolume,XMR-NumberOfTrades,XMR-TBBAV,XMR-TBQAV,XMR-ignore,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
2021-01-27 00:00:00,1366.54,1373.9,1331.39,1346.31,63145.27266,2021-01-27 00:59:59.999,85157459.1835886,66943.0,31280.34013,42193005.0792304,0.0,137.86,138.18,135.92,136.43,1657.43213,226702.2577424,1049.0,827.79274,113326.4263131,0.0,32464.01,32557.29,31880.0,32335.7,3512.77489,113116385.94697309,72906.0,1770.256962,57019173.60195106,0.0
2021-01-27 01:00:00,1346.31,1349.75,1313.59,1319.53,66246.19604,2021-01-27 01:59:59.999,87943264.003879,53305.0,31818.8548,42234148.8437619,0.0,136.64,136.88,134.76,134.99,6175.11321,837835.85485,1443.0,2371.72732,321442.604935,0.0,32335.71,32457.79,31955.39,32084.6,2849.986274,91671544.50842357,60468.0,1275.84325,41033343.45955774,0.0
2021-01-27 02:00:00,1319.68,1329.73,1300.0,1301.6,42851.53587,2021-01-27 02:59:59.999,56408438.2696408,36178.0,19047.75448,25104812.6832296,0.0,134.88,135.4,134.08,134.4,4340.01357,585290.5260009,1609.0,2665.42163,359866.0209749,0.0,32084.88,32263.56,31758.92,31802.36,1970.049621,63250143.61413279,49155.0,892.039472,28649765.00274336,0.0
2021-01-27 03:00:00,1301.69,1310.39,1300.0,1309.0,49625.07649,2021-01-27 03:59:59.999,64809158.9666545,34781.0,26422.55102,34507067.6910491,0.0,134.3,135.33,134.3,134.42,2349.14921,316458.9805597,834.0,1241.93822,167383.5006365,0.0,31802.17,31916.66,31568.28,31800.86,2041.559941,64850477.88120768,50328.0,1007.096734,31996378.96584142,0.0
2021-01-27 04:00:00,1309.01,1320.02,1297.8,1309.67,53756.92074,2021-01-27 04:59:59.999,70249778.6361244,53338.0,21624.30975,28273836.0989837,0.0,134.42,135.34,132.47,132.71,10811.60506,1443339.9117895,2488.0,2159.27406,288729.4246589,0.0,31801.27,32030.28,31518.19,31864.36,1767.213266,56091342.52528747,47510.0,887.974747,28187968.04034165,0.0
2021-01-27 05:00:00,1309.68,1311.16,1273.13,1284.01,70109.76232,2021-01-27 05:59:59.999,90454415.6924402,73022.0,30453.46161,39285023.2866924,0.0,132.64,132.77,130.97,131.5,2912.0948,383856.2237125,1371.0,1618.41592,213389.2798966,0.0,31866.97,31918.71,31365.41,31503.41,2446.344934,77252810.79085217,78238.0,1264.007323,39918906.61170516,0.0
2021-01-27 06:00:00,1284.0,1294.95,1278.0,1292.27,40508.34139,2021-01-27 06:59:59.999,52194386.0267958,59256.0,18762.29685,24178189.4562881,0.0,131.5,133.29,131.47,132.9,4763.29553,630623.211631,1321.0,3529.14889,467386.7409639,0.0,31503.42,31725.0,31350.0,31669.98,1968.815295,62202611.41267428,51026.0,1036.752977,32751332.23815783,0.0
2021-01-27 07:00:00,1292.26,1310.73,1285.27,1293.36,42983.01197,2021-01-27 07:59:59.999,55908894.7885936,52998.0,22542.24057,29321174.7947119,0.0,132.98,134.24,132.52,133.94,2564.24948,342505.7305533,864.0,1644.7979,219862.2916974,0.0,31669.98,31890.19,31547.41,31743.33,1912.294697,60688595.08070834,45948.0,985.909669,31293675.10798831,0.0
2021-01-27 08:00:00,1293.37,1293.62,1259.67,1261.53,79130.36154,2021-01-27 08:59:59.999,100991508.596153,58873.0,37420.41147,47786881.9602808,0.0,133.91,134.4,131.14,131.3,4571.26559,606244.3507157,1424.0,2127.37899,282413.4729705,0.0,31743.33,31749.28,31142.33,31172.11,3088.059946,97052704.12030284,74442.0,1276.139198,40127193.2988619,0.0
2021-01-27 09:00:00,1261.53,1274.51,1250.0,1271.01,95267.48437,2021-01-27 09:59:59.999,120075397.9667915,70039.0,47822.56366,60318777.7135432,0.0,131.16,134.5,130.06,134.42,8950.79689,1181873.3676586,3290.0,4327.34082,571649.3630617,0.0,31172.11,31290.0,30755.0,31201.05,5108.524994,158617441.9417895,103350.0,2327.341529,72306404.54268296,0.0
