OpenTime,XMR-USD_Open,XMR-USD_High,XMR-USD_Low,XMR-USD_Close,XMR-USD_Volume,CloseTime,%K,%D,rsi,macd
2021-07-06 03:20:00,215.85,215.87,215.51,215.51,13.69856,2021-07-06 03:20:59.999,12.698412698410264,28.04232804232679,40.422209764165196,0.022071871302905693
2021-07-06 03:21:00,215.58,215.59,215.22,215.23,29.26342,2021-07-06 03:21:59.999,1.190476190475103,17.857142857141774,35.16993428039889,-0.0012419767946028615
2021-07-06 03:22:00,215.23,215.49,215.23,215.44,60.41208,2021-07-06 03:22:59.999,26.190476190475948,13.359788359787101,41.3274862717593,-0.000627986328777308
2021-07-06 03:23:00,215.45,215.45,215.45,215.45,3.96521,2021-07-06 03:23:59.999,29.487179487178132,18.956043956043057,41.61188097200594,0.0021892219389110235
2021-07-06 03:24:00,215.53,215.81,215.53,215.81,110.40499,2021-07-06 03:24:59.999,75.64102564102596,43.77289377289335,50.84845940925747,0.02857087438527925
2021-07-06 03:25:00,215.83,216.34,215.83,216.12,66.78193,2021-07-06 03:25:59.999,80.35714285714303,61.82844932844904,57.1365354569458,0.06508329211596775
2021-07-06 03:26:00,216.11,216.11,215.57,215.57,22.5492,2021-07-06 03:26:59.999,31.249999999999364,62.41605616605611,45.91357485915283,0.050999907119065824
2021-07-06 03:27:00,215.59,215.75,215.49,215.49,14.84222,2021-07-06 03:27:59.999,24.10714285714367,45.238095238095354,44.543054439217904,0.03582039037906007
2021-07-06 03:28:00,215.46,215.62,215.29,215.56,24.23522,2021-07-06 03:28:59.999,30.35714285714304,28.571428571428687,46.06026530578901,0.030240582505781904
2021-07-06 03:29:00,215.53,215.66,215.43,215.43,3.46206,2021-07-06 03:29:59.999,18.750000000000636,24.40476190476245,43.670745680168835,0.018137731753755687
2021-07-06 03:30:00,215.48,215.7,215.45,215.7,5.23119,2021-07-06 03:30:59.999,42.85714285714177,30.654761904761813,49.527343786634255,0.028066541500597036
2021-07-06 03:31:00,215.73,216.0,215.69,215.78,71.53422,2021-07-06 03:31:59.999,50.0,37.20238095238079,51.14804976032383,0.03909455915972221
2021-07-06 03:32:00,215.86,215.86,215.7,215.7,0.32659,2021-07-06 03:32:59.999,42.85714285714177,45.23809523809451,49.4384380016679,0.039933501515259234
2021-07-06 03:33:00,215.84,215.96,215.83,215.96,19.96119,2021-07-06 03:33:59.999,66.07142857142911,52.97619047619028,54.733962051464964,0.05594913929150648
2021-07-06 03:34:00,216.03,216.2,216.03,216.12,43.45023,2021-07-06 03:34:59.999,80.35714285714303,63.09523809523796,57.67193755184717,0.0741283837515824
2021-07-06 03:35:00,216.08,216.16,215.93,215.93,14.80436,2021-07-06 03:35:59.999,63.06306306306382,69.83054483054532,53.25187051866661,0.07020561301334063
2021-07-06 03:36:00,215.95,216.16,215.85,215.85,13.68169,2021-07-06 03:36:59.999,53.33333333333297,65.58451308451326,51.46339175222475,0.059495295686882006
